model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,picp,pinaw,cwc,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time,train_checkpoint_path,test_checkpoint_path
DLinear,filtered_Turbine_Data_Penmanshiel_12_2022-01-01_-_2023-01-01.csv,,0.31612614,0.3916331,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-52-17,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-52-17,,
DLinear,filtered_Turbine_Data_Penmanshiel_13_2022-01-01_-_2023-01-01.csv,,0.30651963,0.37644684,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-53-29,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-53-29,,
DLinear,filtered_Turbine_Data_Penmanshiel_14_2022-01-01_-_2023-01-01.csv,,0.325148,0.395438,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-54-40,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,20,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-54-40,,
DLinear,filtered_Turbine_Data_Penmanshiel_15_2022-01-01_-_2023-01-01.csv,,0.29293492,0.36964,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,1,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,29,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,

DLinear,filtered_Turbine_Data_Penmanshiel_01_2022-01-01_-_2023-01-01.csv,meta,0.26849747,0.3601291,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,0,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,save/maml_Penmanshiel_5_way_5_shot_2025_11_27_17_16_57/min-vl.pth
DLinear,filtered_Turbine_Data_Penmanshiel_02_2022-01-01_-_2023-01-01.csv,meta,0.29778665,0.37472045,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,0,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,save/maml_Penmanshiel_5_way_5_shot_2025_11_27_17_16_57/min-vl.pth
DLinear,filtered_Turbine_Data_Penmanshiel_04_2022-01-01_-_2023-01-01.csv,meta,0.28653997,0.37027276,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,0,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,save/maml_Penmanshiel_5_way_5_shot_2025_11_27_17_16_57/min-vl.pth
DLinear,filtered_Turbine_Data_Penmanshiel_05_2022-01-01_-_2023-01-01.csv,meta,0.30718482,0.37519345,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,0,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,save/maml_Penmanshiel_5_way_5_shot_2025_11_27_17_16_57/min-vl.pth
DLinear,filtered_Turbine_Data_Penmanshiel_06_2022-01-01_-_2023-01-01.csv,meta,0.31379735,0.37581715,,,,,,,,,,long_term_forecast_Power (kW)_96_16_DLinear_custom_ftMS_sl96_ll96_pl16_dm128_nh8_el2_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2025-11-27 19-55-52,2021,long_term_forecast,0,Power (kW)_96_16,custom,MS,Power (kW),t,0,StandardScaler,0,0.9,False,96,96,16,Monthly,False,0.25,0.25,2,4,5,6,30,30,30,128,8,2,1,2048,25,avg,1,True,0.1,timeF,gelu,False,1,moving_avg,1,0,1,,48,0,100,,32,15,0.0001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2025-11-27 19-55-52,,save/maml_Penmanshiel_5_way_5_shot_2025_11_27_17_16_57/min-vl.pth
